Well name,NS degrees,EW degrees
8/10-4 S,57° 3' 53.8'' N,3° 2' 43.6'' E
6305/7-1,63° 21' 47.6'' N,5° 15' 43.73'' E
34/8-13 A,61° 24' 15.8'' N,2° 34' 52'' E
2/7-19 R,56° 20' 19.1'' N,3° 6' 12.2'' E
34/8-7,61° 19' 9.07'' N,2° 33' 32.15'' E
31/2-18 A,60° 54' 10.49'' N,3° 34' 41.79'' E
34/10-14,61° 14' 0.5'' N,2° 15' 18.87'' E
31/2-12,60° 50' 5.4'' N,3° 30' 48.47'' E
7/12-4 R,57° 5' 36.66'' N,2° 51' 36.96'' E
7120/1-3,71° 54' 10.37'' N,20° 16' 10.85'' E
9/3-2,57° 49' 25.79'' N,4° 42' 39.64'' E
31/2-4 R2,60° 51' 23.57'' N,3° 30' 44.33'' E
24/9-14 S,59° 21' 51.91'' N,1° 46' 52.29'' E
6407/12-3,64° 14' 17.73'' N,7° 48' 54.34'' E
25/4-12 A,59° 30' 39.22'' N,2° 4' 27.28'' E
25/1-2,59° 56' 8'' N,2° 4' 54.6'' E
35/11-7,61° 1' 59.74'' N,3° 35' 26.23'' E
7228/9-1 S,72° 23' 48.36'' N,28° 43' 8.67'' E
25/2-16 S,59° 45' 7.67'' N,2° 24' 33.1'' E
6407/9-2,64° 24' 1.31'' N,7° 48' 11.26'' E
34/10-39 S,61° 12' 44.79'' N,2° 1' 32.11'' E
25/1-5,59° 52' 27.92'' N,2° 6' 36.99'' E
2/1-8,56° 53' 40.63'' N,3° 6' 55.95'' E
34/8-1,61° 21' 53.5'' N,2° 25' 57.57'' E
35/3-7 S,61° 50' 7.24'' N,3° 49' 31.83'' E
7122/7-5 A,71° 16' 24.7'' N,22° 16' 40.43'' E
1/9-4 R,56° 29' 3.76'' N,2° 56' 0.29'' E
1/9-1 R,56° 24' 5.07'' N,2° 54' 6.49'' E
7/11-3,57° 2' 58.8'' N,2° 28' 18.8'' E
34/7-29 SR,61° 21' 51.69'' N,2° 2' 23.37'' E
30/6-12,60° 33' 15.59'' N,2° 49' 23.31'' E
33/9-21 A,61° 23' 48.26'' N,1° 44' 27.25'' E
34/3-4 S,61° 48' 7.42'' N,2° 52' 5.97'' E
15/8-1,58° 21' 48.1'' N,1° 34' 22.31'' E
7121/5-1,71° 35' 54.88'' N,21° 24' 21.78'' E
6507/7-12,65° 26' 46.16'' N,7° 18' 17.82'' E
31/6-8,60° 33' 21.36'' N,3° 40' 39.07'' E
6706/11-2,67° 3' 56.97'' N,6° 32' 57.4'' E
6406/2-5 A,64° 55' 53.83'' N,6° 26' 58.65'' E
34/10-52 S,61° 4' 16.1'' N,2° 11' 31.33'' E
7123/4-1 S,71° 36' 49.3'' N,23° 3' 48.7'' E
30/8-1 A,60° 27' 46.93'' N,2° 38' 6.53'' E
35/11-22 S,61° 5' 2.27'' N,3° 20' 56.92'' E
6407/7-4,64° 15' 43.43'' N,7° 13' 25.84'' E
7219/12-3 S,72° 12' 3.51'' N,19° 43' 2.12'' E
31/3-2,60° 52' 11.41'' N,3° 40' 41.79'' E
7220/11-3,72° 1' 12.62'' N,20° 31' 41.23'' E
16/1-26 S,58° 55' 20.15'' N,2° 11' 53.03'' E
30/9-6,60° 23' 3.77'' N,2° 49' 55.59'' E
16/2-11 A,58° 48' 13.06'' N,2° 34' 19.92'' E
7321/8-1,73° 20' 11.99'' N,21° 24' 57.27'' E
33/9-22 S,61° 23' 8.77'' N,1° 57' 34.27'' E
6306/6-1,63° 30' 1.45'' N,6° 49' 14.42'' E
2/11-1,56° 14' 16.98'' N,3° 27' 7.05'' E
35/1-1,61° 50' 9.11'' N,3° 4' 24.21'' E
16/3-2,58° 47' 12.8'' N,2° 47' 34.7'' E
6406/2-4 S,64° 47' 58.34'' N,6° 32' 29.26'' E
31/2-4 R,60° 51' 23.57'' N,3° 30' 44.33'' E
1/9-2,56° 23' 52.77'' N,2° 55' 34.63'' E
6608/11-6,66° 6' 50.6'' N,8° 23' 0.1'' E
25/8-1,59° 15' 2'' N,2° 29' 35.41'' E
25/8-16 S,59° 24' 56.25'' N,2° 29' 2.34'' E
6406/1-3 R2,64° 54' 25.97'' N,6° 8' 25.34'' E
9/4-4,57° 42' 1.48'' N,4° 13' 20.79'' E
16/1-22 S,58° 54' 23.09'' N,2° 9' 43.41'' E
6603/5-1 S,66° 34' 33.21'' N,3° 32' 46.05'' E
34/10-49 B,61° 7' 45.06'' N,2° 5' 26.13'' E
25/2-3,59° 49' 9.7'' N,2° 21' 21.4'' E
6407/1-1,64° 47' 51.66'' N,7° 2' 21.62'' E
11/5-1,57° 36' 46.27'' N,6° 36' 24.09'' E
6609/11-1,66° 8' 13.9'' N,9° 33' 47.89'' E
6306/5-2,63° 43' 52.29'' N,6° 34' 27.26'' E
30/9-12 A,60° 25' 57.09'' N,2° 51' 34.9'' E
34/4-10 R,61° 37' 33.33'' N,2° 4' 30.47'' E
34/8-7 R,61° 19' 9.07'' N,2° 33' 32.15'' E
6407/7-6,64° 17' 40.66'' N,7° 6' 16.31'' E
16/1-21 A,58° 55' 41.83'' N,2° 13' 22.97'' E
17/6-1,58° 44' 15.46'' N,3° 55' 34.93'' E
25/2-2,59° 53' 34.8'' N,2° 20' 15'' E
34/8-8,61° 22' 46.19'' N,2° 28' 43.81'' E
2/4-3,56° 32' 42.12'' N,3° 14' 55.49'' E
31/1-1,60° 49' 8.86'' N,3° 18' 54.13'' E
6204/11-3,62° 3' 52.06'' N,4° 22' 10.42'' E
2/7-29,56° 18' 43.62'' N,3° 4' 55.28'' E
16/7-10,58° 29' 56.56'' N,2° 1' 31.42'' E
30/6-24 S,60° 42' 2.74'' N,2° 41' 34.28'' E
17/11-1,58° 12' 36'' N,3° 20' 34.9'' E
16/4-5,58° 43' 43.92'' N,2° 17' 32.19'' E
33/9-4,61° 19' 46.57'' N,1° 54' 43.04'' E
6608/10-18 B,66° 6' 9.54'' N,8° 4' 23.11'' E
25/1-13,59° 49' 15.46'' N,2° 16' 37.04'' E
25/11-20,59° 8' 44.62'' N,2° 33' 44.27'' E
16/7-8 S,58° 20' 22.06'' N,2° 0' 35.15'' E
30/6-26,60° 31' 39.7'' N,2° 42' 37.61'' E
2/8-13,56° 23' 21.65'' N,3° 23' 57.58'' E
16/1-27,58° 50' 18.11'' N,2° 11' 56.79'' E
7325/4-1,73° 38' 57.55'' N,25° 10' 41.74'' E
6407/2-2,64° 59' 39.64'' N,7° 31' 53.08'' E
2/5-5,56° 34' 54.4'' N,3° 25' 49.1'' E
6305/9-1,63° 17' 59.96'' N,5° 59' 14.63'' E
30/9-23,60° 27' 32.76'' N,2° 59' 7.64'' E
30/9-8,60° 25' 26.1'' N,2° 47' 58.38'' E
6607/12-3,66° 9' 37.23'' N,7° 56' 34.01'' E
30/2-2,60° 49' 53.89'' N,2° 39' 51.65'' E
31/5-5,60° 41' 49.66'' N,3° 29' 8.74'' E
30/6-17 A,60° 34' 15.77'' N,2° 44' 59.84'' E
15/12-9 S,58° 4' 40.43'' N,1° 53' 25.75'' E
30/9-10,60° 23' 23.2'' N,2° 47' 13.16'' E
36/7-1,61° 21' 13.49'' N,4° 0' 57.22'' E
1/5-2,56° 34' 41.59'' N,2° 38' 30.53'' E
2/4-17,56° 41' 2.6'' N,3° 13' 45.2'' E
16/2-14,58° 50' 25.97'' N,2° 31' 2.14'' E
24/9-6,59° 29' 1.5'' N,1° 57' 27.14'' E
7/7-3,57° 27' 41.61'' N,2° 16' 20.96'' E
15/6-2 R,58° 32' 47.58'' N,1° 41' 54.09'' E
6506/12-3,65° 1' 31.09'' N,6° 53' 27.35'' E
33/2-2 S,61° 45' 7.58'' N,1° 36' 40.6'' E
7122/2-1,71° 57' 40.28'' N,22° 38' 40.1'' E
30/5-3 A,60° 39' 26.2'' N,2° 39' 33.2'' E
6507/5-6 S,65° 44' 19.36'' N,7° 39' 20.52'' E
30/3-7 B,60° 46' 57.98'' N,2° 53' 51.95'' E
25/10-8,59° 1' 48.48'' N,2° 13' 25.35'' E
7324/2-1,73° 51' 47.9'' N,24° 32' 29.9'' E
34/10-47 A,61° 10' 52.5'' N,2° 3' 11.1'' E
16/2-22 S,58° 55' 33.5'' N,2° 24' 33.2'' E
34/10-45 B,61° 12' 9.93'' N,2° 12' 5.93'' E
16/4-7,58° 31' 37.87'' N,2° 8' 34.4'' E
31/2-10,60° 47' 38.94'' N,3° 29' 39.46'' E
35/3-1,61° 50' 41.89'' N,3° 43' 41.36'' E
1/3-8,56° 52' 7.14'' N,2° 53' 20.75'' E
16/4-1,58° 38' 18.33'' N,2° 8' 17.03'' E
24/9-2,59° 16' 12.43'' N,1° 55' 12.26'' E
35/11-15 S,61° 6' 50.28'' N,3° 31' 19.94'' E
15/6-10,58° 40' 55.75'' N,1° 50' 15.24'' E
15/9-6,58° 27' 13.5'' N,1° 41' 31.4'' E
6704/12-1,67° 7' 25'' N,4° 42' 44.7'' E
34/7-36 S,61° 21' 46.02'' N,2° 18' 20.84'' E
32/4-2,60° 30' 37.36'' N,4° 9' 18.03'' E
31/2-14,60° 51' 26.52'' N,3° 25' 37.68'' E
7125/4-3,71° 30' 56.4'' N,25° 12' 56.6'' E
3/8-1,56° 27' 16.93'' N,4° 25' 7.3'' E
25/10-16 B,59° 2' 13.13'' N,2° 13' 41.38'' E
7220/10-1,72° 0' 57.34'' N,20° 3' 25.01'' E
25/8-10 S,59° 16' 22.69'' N,2° 32' 6.4'' E
25/5-7,59° 39' 43.26'' N,2° 34' 15.39'' E
1/9-1,56° 24' 5.07'' N,2° 54' 6.49'' E
6507/7-1,65° 27' 16.73'' N,7° 12' 52.77'' E
30/9-27 S,60° 24' 0.53'' N,2° 40' 15.76'' E
2/4-22 S,56° 42' 58.2'' N,3° 10' 2.98'' E
7122/7-2,71° 17' 28.46'' N,22° 16' 57.22'' E
6608/10-8,66° 3' 34.07'' N,8° 10' 42.92'' E
2/7-1,56° 25' 44.68'' N,3° 12' 14.21'' E
6506/9-3,65° 15' 5.03'' N,6° 54' 15.61'' E
7/12-2,57° 6' 41.05'' N,2° 50' 51.04'' E
2/2-5,56° 50' 5.8'' N,3° 27' 22.9'' E
25/7-1 S,59° 18' 35.23'' N,2° 16' 5.37'' E
6608/11-5,66° 11' 9.57'' N,8° 28' 50.39'' E
2/5-10 A,56° 41' 21.66'' N,3° 29' 27.32'' E
6505/10-1,65° 7' 59.69'' N,5° 10' 29.39'' E
15/12-5,58° 4' 53.36'' N,1° 54' 53.24'' E
7122/7-4 S,71° 15' 13.07'' N,22° 19' 5.41'' E
30/9-12,60° 25' 57.09'' N,2° 51' 34.9'' E
35/11-23 A,61° 1' 14.7'' N,3° 27' 49.21'' E
15/6-1,58° 32' 48.26'' N,1° 41' 32.8'' E
2/7-9,56° 19' 50.6'' N,3° 14' 29.3'' E
31/6-8 R,60° 33' 21.36'' N,3° 40' 39.07'' E
6607/12-4 A,66° 3' 39.79'' N,7° 59' 5.89'' E
15/6-6,58° 31' 14.7'' N,1° 44' 53.3'' E
34/10-33 A,61° 7' 34.44'' N,2° 12' 57.1'' E
7219/8-1 S,72° 22' 28.32'' N,19° 23' 40.24'' E
6204/11-2,62° 11' 50.47'' N,4° 26' 37.67'' E
35/8-2,61° 16' 15.42'' N,3° 21' 58.17'' E
2/4-19 B,56° 33' 54.97'' N,3° 12' 13.79'' E
7/12-4,57° 5' 36.66'' N,2° 51' 36.96'' E
16/7-9,58° 15' 17.49'' N,2° 17' 25.01'' E
7220/7-1,72° 27' 37.53'' N,20° 9' 8.59'' E
35/12-3 S,61° 5' 19.99'' N,3° 44' 56.37'' E
7/11-6,57° 6' 59.45'' N,2° 36' 55.16'' E
34/10-16,61° 5' 35.62'' N,2° 10' 46.66'' E
30/3-3,60° 46' 11.44'' N,2° 57' 5.58'' E
31/6-4,60° 37' 6.05'' N,3° 48' 20.36'' E
7219/12-1,72° 12' 44.21'' N,19° 46' 38.32'' E
7120/6-1,71° 37' 11.76'' N,20° 55' 59.72'' E
34/10-43 S,61° 6' 30.78'' N,2° 2' 59.76'' E
30/9-9,60° 19' 51.1'' N,2° 52' 29.47'' E
7223/5-1,72° 32' 6.18'' N,23° 20' 7.74'' E
34/4-11,61° 38' 41'' N,2° 5' 53.74'' E
7220/11-1,72° 3' 26.82'' N,20° 32' 45.67'' E
6304/3-1,63° 48' 5.9'' N,4° 52' 18.06'' E
15/5-7 A,58° 33' 22.2'' N,1° 39' 19.3'' E
35/12-7,61° 9' 0.59'' N,3° 40' 5.76'' E
7319/12-1,73° 2' 34.2'' N,19° 46' 39.3'' E
7018/5-1,70° 40' 25.86'' N,18° 26' 48.19'' E
34/10-35,61° 4' 16.17'' N,2° 19' 16.77'' E
7/11-5,57° 8' 6.39'' N,2° 29' 53.53'' E
2/11-12 A,56° 10' 10.93'' N,3° 26' 12.54'' E
6605/8-2,66° 18' 43.6'' N,5° 31' 43.7'' E
25/4-4,59° 36' 8.63'' N,2° 12' 26.64'' E
6507/10-2 S,65° 12' 48.44'' N,7° 16' 58.7'' E
25/10-7 S,59° 4' 57.64'' N,2° 8' 23.75'' E
6406/6-2,64° 31' 0.51'' N,6° 53' 8.53'' E
24/9-13,59° 17' 51.89'' N,1° 46' 2.45'' E
25/11-21 A,59° 9' 43.43'' N,2° 27' 53.07'' E
33/9-14,61° 26' 0.26'' N,1° 54' 4.48'' E
15/5-4,58° 38' 28.53'' N,1° 33' 8.87'' E
34/10-12,61° 9' 26.69'' N,2° 6' 21.72'' E
16/3-8 A,58° 48' 23.35'' N,2° 40' 27.66'' E
25/1-7 R,59° 55' 8.28'' N,2° 4' 52.33'' E
6506/11-1,65° 11' 4.49'' N,6° 39' 53.88'' E
7120/12-5,71° 11' 57.92'' N,20° 54' 54.97'' E
16/1-11,58° 55' 36.15'' N,2° 11' 7.48'' E
1/3-6,56° 56' 14.92'' N,2° 42' 20.81'' E
25/4-6 SR,59° 42' 35.43'' N,2° 19' 4.45'' E
15/6-13,58° 36' 55.48'' N,1° 45' 40.58'' E
34/8-14 S,61° 18' 37.9'' N,2° 20' 32.9'' E
25/10-16 A,59° 2' 13.13'' N,2° 13' 41.38'' E
6407/9-1,64° 21' 56.14'' N,7° 47' 20.86'' E
24/12-1,59° 2' 29.8'' N,1° 52' 57.93'' E
1/9-5,56° 29' 27.69'' N,2° 57' 55.27'' E
6302/6-1,63° 31' 38.43'' N,2° 45' 51.56'' E
6507/6-2,65° 44' 26.42'' N,7° 41' 6.55'' E
7220/7-4,72° 25' 4.32'' N,20° 8' 25.73'' E
34/8-18 S,61° 22' 13.34'' N,2° 27' 34.38'' E
7/12-2 R,57° 6' 41.05'' N,2° 50' 51.04'' E
1/5-3 S,56° 41' 24.52'' N,2° 36' 54.13'' E
16/2-12,58° 53' 4.27'' N,2° 29' 18.11'' E
6507/11-2,65° 10' 59.7'' N,7° 36' 39.84'' E
16/7-4,58° 17' 9.75'' N,2° 1' 30.07'' E
16/2-3,58° 53' 0.3'' N,2° 22' 24.3'' E
6608/10-15,66° 5' 20.78'' N,8° 16' 41.48'' E
34/7-27,61° 29' 32.09'' N,2° 0' 21'' E
35/11-23,61° 1' 14.7'' N,3° 27' 49.21'' E
30/11-14 A,60° 11' 29.91'' N,2° 35' 11.08'' E
6507/8-7,65° 17' 42.5'' N,7° 21' 41.6'' E
16/11-2,58° 11' 7.2'' N,2° 28' 9.2'' E
30/9-7,60° 25' 4.76'' N,2° 45' 7'' E
15/12-23,58° 13' 0.78'' N,1° 53' 3.87'' E
6510/2-1,65° 47' 15.6'' N,10° 25' 51.33'' E
25/11-26,59° 14' 3.21'' N,2° 36' 40.99'' E
16/7-6,58° 15' 39.23'' N,2° 2' 36.04'' E
16/1-15 A,58° 52' 23.82'' N,2° 15' 41.3'' E
34/7-23 S,61° 20' 24.89'' N,2° 4' 31.54'' E
7125/1-1,71° 53' 24.26'' N,25° 11' 15.46'' E
16/2-6,58° 49' 25.26'' N,2° 36' 54.76'' E
25/8-8 S,59° 25' 51.87'' N,2° 24' 18.73'' E
25/4-2,59° 35' 46.51'' N,2° 18' 51.4'' E
25/2-17,59° 51' 57.13'' N,2° 37' 50.39'' E
3/7-7,56° 24' 10.58'' N,4° 18' 3.14'' E
16/7-3,58° 24' 21.96'' N,2° 8' 8.06'' E
6407/6-4,64° 37' 36.77'' N,7° 40' 51'' E
34/10-9,61° 12' 55.34'' N,2° 15' 0.53'' E
24/9-10 S,59° 16' 34.73'' N,1° 55' 36.13'' E
16/1-26 A,58° 55' 20.15'' N,2° 11' 53.03'' E
35/10-2,61° 2' 22.67'' N,3° 2' 30.6'' E
7/11-4,57° 7' 30.5'' N,2° 29' 21.4'' E
30/10-7,60° 11' 28.14'' N,2° 7' 27.27'' E
16/2-4,58° 52' 21.5'' N,2° 23' 24.7'' E
16/8-1,58° 27' 24.8'' N,2° 25' 56.8'' E
15/12-15,58° 2' 43.92'' N,1° 52' 22.98'' E
6507/2-1,65° 54' 2.48'' N,7° 26' 16.43'' E
34/10-8,61° 9' 59.53'' N,2° 12' 3.44'' E
26/10-1,59° 0' 1.87'' N,3° 4' 14.7'' E
7219/9-3,72° 17' 23.02'' N,19° 59' 56.43'' E
35/11-18 A,61° 9' 24.41'' N,3° 20' 38.09'' E
30/9-3,60° 28' 16.33'' N,2° 45' 37.55'' E
35/11-2,61° 10' 26.42'' N,3° 27' 31.36'' E
34/8-5,61° 19' 29.94'' N,2° 20' 57.94'' E
6608/11-7 S,66° 14' 1.32'' N,8° 30' 47.34'' E
34/8-19 S,61° 26' 6.84'' N,2° 35' 24.37'' E
34/10-44 S,61° 3' 50.65'' N,2° 0' 10.91'' E
7125/4-2,71° 32' 46.1'' N,25° 0' 16.1'' E
35/2-2,61° 52' 36.2'' N,3° 24' 51'' E
15/9-17 R,58° 26' 44.19'' N,1° 56' 53.58'' E
25/6-4 S,59° 41' 10.27'' N,2° 53' 1.23'' E
25/2-18 B,59° 49' 30.11'' N,2° 37' 54.1'' E
10/4-1,57° 40' 30.04'' N,5° 9' 18.81'' E
7219/12-1 A,72° 12' 44.21'' N,19° 46' 38.32'' E
16/4-13 S,58° 43' 40.23'' N,2° 9' 8.95'' E
6607/5-2,66° 41' 3.38'' N,7° 21' 22.52'' E
8/9-1,57° 26' 27.28'' N,3° 51' 3.48'' E
6407/7-9 S,64° 18' 59.25'' N,7° 9' 24.4'' E
16/2-7 A,58° 46' 47.77'' N,2° 39' 16.28'' E
6608/10-2,66° 0' 49.35'' N,8° 4' 26.48'' E
7222/11-1,72° 4' 20.3'' N,22° 28' 26.4'' E
30/6-7,60° 38' 39.49'' N,2° 45' 21.74'' E
15/12-4,58° 3' 9.16'' N,1° 54' 11.61'' E
6507/8-6,65° 24' 35.96'' N,7° 28' 52.74'' E
30/3-7 BR,60° 46' 57.98'' N,2° 53' 51.95'' E
2/1-15,56° 52' 58.14'' N,3° 12' 47.53'' E
35/9-2,61° 20' 8.62'' N,3° 56' 16.74'' E
16/4-12,58° 41' 51.29'' N,2° 8' 50.76'' E
24/9-7 A,59° 28' 42.6'' N,1° 57' 44.49'' E
25/1-8 SR,59° 54' 3.28'' N,2° 6' 9.79'' E
2/5-2,56° 38' 41.6'' N,3° 22' 20.6'' E
34/10-53 A,61° 4' 4.71'' N,2° 7' 0.34'' E
7/9-1,57° 20' 37.1'' N,2° 51' 21.4'' E
6406/1-3,64° 54' 25.97'' N,6° 8' 25.34'' E
6608/10-10,66° 4' 17.9'' N,8° 10' 11.4'' E
33/6-3 S,61° 35' 38.58'' N,1° 57' 9.74'' E
2/5-10,56° 41' 21.66'' N,3° 29' 27.32'' E
25/1-7 R3,59° 55' 8.28'' N,2° 4' 52.33'' E
7/11-9,57° 12' 11.79'' N,2° 24' 50.18'' E
15/6-4,58° 37' 34.39'' N,1° 48' 19.94'' E
24/9-7,59° 28' 42.6'' N,1° 57' 44.49'' E
7228/7-1 S,72° 15' 28.9'' N,28° 8' 59.7'' E
15/3-12 S,58° 46' 53.25'' N,1° 54' 13.44'' E
2/7-21 SR,56° 19' 59.65'' N,3° 14' 53.89'' E
33/5-1,61° 44' 46.1'' N,1° 34' 57.4'' E
6507/8-1,65° 18' 35.03'' N,7° 20' 52.8'' E
6406/12-G-1 H,64° 1' 50.48'' N,6° 45' 2.87'' E
2/5-4,56° 33' 54.4'' N,3° 36' 56.4'' E
30/3-1,60° 54' 15.35'' N,2° 40' 11.71'' E
34/7-12,61° 16' 17.86'' N,2° 6' 47.26'' E
7222/1-1,72° 56' 45.94'' N,22° 19' 26.18'' E
30/9-19 A,60° 27' 35.38'' N,2° 41' 38.94'' E
25/2-15,59° 48' 53.54'' N,2° 30' 6.2'' E
6706/11-1,67° 4' 24.77'' N,6° 27' 47.7'' E
25/11-11,59° 11' 47.2'' N,2° 20' 47.43'' E
6407/1-2,64° 47' 50.61'' N,7° 2' 23.76'' E
34/10-9 R,61° 12' 55.34'' N,2° 15' 0.53'' E
17/11-2,58° 6' 54.91'' N,3° 22' 9.81'' E
15/5-6,58° 41' 45.95'' N,1° 39' 3.59'' E
7/12-7 R,57° 6' 31.92'' N,2° 52' 47.27'' E
31/6-2,60° 34' 58.24'' N,3° 54' 55.76'' E
25/7-7,59° 18' 59.95'' N,2° 12' 42.66'' E
34/4-13 S,61° 38' 42.96'' N,2° 6' 0.2'' E
6407/5-2 S,64° 34' 48.77'' N,7° 37' 11.93'' E
6407/3-2 S,64° 45' 25.69'' N,7° 49' 35.47'' E
25/5-1,59° 43' 47.19'' N,2° 34' 13.46'' E
2/3-4,56° 46' 45.61'' N,3° 48' 27.89'' E
25/2-8,59° 54' 45.14'' N,2° 20' 27.62'' E
34/4-1,61° 32' 49.23'' N,2° 16' 23.66'' E
6506/12-11 S,65° 5' 7.2'' N,6° 40' 54.75'' E
34/7-1,61° 28' 21.8'' N,2° 13' 25.55'' E
6507/2-5 S,65° 50' 44.19'' N,7° 22' 43.71'' E
34/10-5,61° 11' 25.35'' N,2° 10' 23.39'' E
2/7-22,56° 17' 46.25'' N,3° 9' 32.01'' E
7122/7-5,71° 16' 24.7'' N,22° 16' 40.43'' E
6609/10-2,66° 2' 29'' N,9° 3' 6'' E
2/6-4 S,56° 38' 59.29'' N,3° 47' 23.27'' E
34/10-27,61° 10' 31.12'' N,2° 11' 23.96'' E
30/3-1 R,60° 54' 15.35'' N,2° 40' 11.71'' E
30/6-22 R,60° 43' 57.26'' N,2° 58' 53.12'' E
16/5-3,58° 43' 53.95'' N,2° 33' 28.64'' E
30/11-13 A,60° 9' 55.78'' N,2° 35' 35.13'' E
34/11-4,61° 3' 26.2'' N,2° 22' 46.5'' E
7019/1-1,70° 55' 5.1'' N,19° 4' 22.44'' E
15/9-9,58° 20' 47.81'' N,1° 53' 24.98'' E
6407/7-3,64° 16' 44.34'' N,7° 9' 0.13'' E
6507/7-2,65° 20' 12.37'' N,7° 18' 34.52'' E
34/10-16 R,61° 5' 35.62'' N,2° 10' 46.66'' E
16/2-10,58° 51' 16.08'' N,2° 32' 37.5'' E
25/2-5,59° 48' 1.4'' N,2° 28' 18.3'' E
34/8-4 AR,61° 19' 29.58'' N,2° 25' 18.67'' E
16/10-3,58° 13' 18.54'' N,2° 19' 34.3'' E
6408/4-1,64° 40' 0.22'' N,8° 15' 27.05'' E
2/7-20 R,56° 20' 0.1'' N,3° 14' 54.7'' E
7120/8-4,71° 28' 36.76'' N,20° 26' 44.22'' E
25/2-15 R2,59° 48' 53.54'' N,2° 30' 6.2'' E
8/10-7 A,57° 6' 54.81'' N,3° 3' 31.5'' E
30/9-2,60° 27' 53'' N,2° 49' 13.03'' E
2/8-14,56° 15' 48.93'' N,3° 21' 23.11'' E
7120/8-1,71° 24' 34.43'' N,20° 26' 6.2'' E
25/1-3,59° 54' 5'' N,2° 10' 5'' E
6507/8-4,65° 23' 17.18'' N,7° 23' 59.65'' E
6506/12-10,65° 8' 7.82'' N,6° 49' 6.47'' E
35/12-4 A,61° 11' 6.76'' N,3° 41' 29.4'' E
6406/2-9 S,64° 48' 18.22'' N,6° 26' 51.08'' E
7321/7-1,73° 25' 55.57'' N,21° 4' 31.75'' E
7318/12-2,73° 7' 46.18'' N,18° 43' 5.74'' E
7/8-6 S,57° 17' 55.17'' N,2° 27' 19.16'' E
34/10-32 R,61° 4' 33.37'' N,2° 12' 43.59'' E
2/7-20,56° 20' 0.1'' N,3° 14' 54.7'' E
2/7-6,56° 25' 5'' N,3° 14' 40.6'' E
30/9-13 S,60° 21' 37.69'' N,2° 43' 17.78'' E
30/6-13 R,60° 33' 14.59'' N,2° 49' 21.76'' E
26/4-1,59° 36' 37.84'' N,3° 1' 13.26'' E
16/1-8,58° 50' 8.63'' N,2° 14' 6.36'' E
30/11-11 S,60° 4' 29.83'' N,2° 38' 8.82'' E
3/7-2,56° 29' 58.37'' N,4° 4' 8.36'' E
6610/3-1,66° 55' 29.7'' N,10° 54' 6.28'' E
25/11-28,59° 0' 31.12'' N,2° 21' 59.27'' E
24/9-9 S,59° 19' 40.49'' N,1° 50' 17.27'' E
7117/9-2,71° 25' 44.75'' N,17° 53' 32.45'' E
25/5-3,59° 35' 8.01'' N,2° 37' 46.94'' E
34/7-30 SR,61° 15' 42.27'' N,2° 10' 13.5'' E
33/9-21 S,61° 23' 48.26'' N,1° 44' 27.25'' E
24/6-4,59° 34' 44.7'' N,1° 54' 46.08'' E
3/7-9 S,56° 26' 20.84'' N,4° 10' 10.75'' E
16/4-9 S,58° 42' 22.76'' N,2° 9' 55.07'' E
7124/4-1 S,71° 35' 16.14'' N,24° 5' 56.76'' E
33/9-5,61° 20' 47.87'' N,1° 56' 51.7'' E
2/9-4,56° 16' 28.89'' N,3° 48' 45.95'' E
